Context,Subcontext,Webplex Key,IsObject,File
brand,,brand,n,options.default.js
brand,,defaultPageTitle,n,
brand,,defaultBrandImage,n,
apiEndPoint,,host,y,
apiEndPoint,,baseUrl,y,
apiEndPoint,,brand,y,
apiEndPoint,,region,y,
apiEndPoint,,version,y,
apiEndPoint,,appVersion,y,
nickApiEndPoint,,host,y,
nickApiEndPoint,,baseUrl,y,
nickApiEndPoint,,namespace,y,
nickApiEndPoint,,apiKey,y,
drupalApiEndPoint,,host,,
drupalApiEndPoint,,baseUrl,,
wordpressApiEndPoint,,host,,
wordpressApiEndPoint,,baseUrl,,
poeditorEndPoint,,host,y,
poeditorEndPoint,,api_token,y,
poeditorEndPoint,,id,y,
poeditorEndPoint,,language,y,
newRelicBrowser,,appId,y,
newRelicBrowser,dev,licenseKey,y,
newRelicBrowser,stage,appId,y,
newRelicBrowser,stage,licenseKey,y,
newRelicBrowser,prod,appId,y,
newRelicBrowser,prod,licenseKey,y,
balaNotifierLegalPages,,termsOfUseUrl,y,
balaNotifierLegalPages,,privacyPolicyUrl,y,
imageServer,,url,y,
defaultImage,,url,y,
defaultImage,,height,y,
defaultImage,,width,y,
defaultCastImage,,url,y,
defaultCastImage,,height,y,
defaultCastImage,,width,y,
defaultCastImage,,aspectRatio,y,
defaultCastImage,,resizable,y,
defaultShareImage,,url,y,
static,,static,y,
edgeplayer,,url,y,
edgeplayer,,isEmbeddable,y,
edgeplayer,,notEmbeddableVideoType,y,
mgidOverrides,,video,y,
mgidOverrides,,movie,y,
mgidOverrides,,playlist,y,
mgidOverrides,,episode,y,
mgidOverrides,,simulcast,y,
mgidOverrides,,live,y,
seoTitles,,episodeDetail,y,
seoTitles,,playlistDetail,y,
seoTitles,,videoDetail,y,
seoTitles,,movieDetail,y,
seoTitles,,tagDetail,y,
seoTitles,,articleDetail,y,
seoTitles,,showPage,y,
seoTitles,,seasonPage,y,
seoTitles,,photogalleryPage,y,
seoTitles,,homePage,y,
seoTitles,,showsHubPage,y,
seoTitles,,episodesHubPage,y,
seoTitles,,showTVSchedule,y,
seoTitles,,moviesHubPage,y,
seoTitles,,appsHubPage,y,
seoTitles,,simulcast,y,
seoTitles,,livestream,y,
seoTitles,,embeds,y,
seoTitles,,infoPage,y,
seoTitles,,legalPage,y,
seoTitles,,tvSchedule,y,
seoTitles,,notFound,y,
seoDescriptions,,episodeDetail,y,
seoDescriptions,,playlistDetail,y,
seoDescriptions,,videoDetail,y,
seoDescriptions,,movieDetail,y,
seoDescriptions,,tagDetail,y,
seoDescriptions,,articleDetail,y,
seoDescriptions,,showPage,y,
seoDescriptions,,seasonPage,y,
seoDescriptions,,photogalleryPage,y,
seoDescriptions,,homePage,y,
seoDescriptions,,showsHubPage,y,
seoDescriptions,,episodesHubPage,y,
seoDescriptions,,showTVSchedule,y,
seoDescriptions,,moviesHubPage,y,
seoDescriptions,,appsHubPage,y,
seoDescriptions,,simulcast,y,
seoDescriptions,,livestream,y,
seoDescriptions,,embeds,y,
seoDescriptions,,infoPage,y,
seoDescriptions,,legalPage,y,
seoDescriptions,,tvSchedule,y,
seoDescriptions,,notFound,y,
pageHead,metaTags,robots,y,
pageHead,metaTags,viewport,y,
pageHead,metaTags,theme-color,y,
pageHead,metaTags,fb:app_id,y,
pageHead,metaTags,apple-itunes-app,y,
pageHead,metaTags,google-play-app,y,
pageHead,headerLinks,shortcut icon href,y,
pageHead,headerLinks,shortcut icon type,y,
pageHead,headerLinks,apple-touch-icon href,y,
pageHead,headerLinks,apple-touch-icon sizes,y,
pageHead,headerLinks,icon href,y,
pageHead,headerLinks,icon sizes,y,
pageHead,headerLinks,icon type,y,
pageHead,headerLinks,icon href,y,
pageHead,headerLinks,icon sizes,y,
pageHead,headerLinks,icon type,y,
pageHead,headerLinks,mask-icon href,y,
pageHead,headerLinks,mask-icon color,y,
pageHead,ogTags ,og:site_name,y,
pageHead,ogTags ,og:image:type,y,
pageHead,ogTags ,og:image:width,y,
pageHead,ogTags ,og:image:height,y,
pageHead,twitterTags,twitter:site,y,
pageHead,headerLinks1,dns-prefetch href,y,
pageHead,headerLinks1,dns-prefetch href,y,
pageHead,headerLinks1,dns-prefetch href,y,
pageHead,headerLinks1,dns-prefetch href,y,
pageHead,headerLinks1,manifest href,y,
gspStoreLocations,,prefix,y,
gspStoreLocations,,replacement,y,
gspStoreLocations,,prefix,y,
gspStoreLocations,,replacement,y,
gspStoreLocations,,prefix,y,
gspStoreLocations,,replacement,y,
gspStoreLocations,,prefix,y,
gspStoreLocations,,replacement,y,
gspStoreLocations,,prefix,y,
gspStoreLocations,,replacement,y,
gspStoreLocations,,prefix,y,
gspStoreLocations,,replacement,y,
gspStoreLocations,,prefix,y,
gspStoreLocations,,replacement,y,
captionsDisclaimerFlag,,captionsDisclaimerFlag,y,
videoguide,episode,maxcount,y,
urlShortener,,url,y,
locale,,,n,
timezone,,,n,
search,searchEndpoint,host,y,
search,,host (prod),y,
search,,baseUrl,y,
search,,baseQueryStringParams.site,y,
search,,useSeasonDropdown,y,
search,,baseQueryStringParams.site (prod),y,
search,,daysOfSchedule,y,
search,,isFeatureRich,y,
channelFinder (US only),,displayChannelFinder,y,
channelFinder (US only),,siteName,y,
channelFinder (US only),,affiliateId,y,
channelFinder (US only),,channelStnlt,y,
channelFinder (US only),,zipCodePlaceHolderText,y,
channelFinder (US only),,zipCodeValidationMessage,y,
channelFinder (US only),,channelFinderUrl,y,
simulcastSwitcher,,,y,
simulcastSwitcher,live-tv,eb0kku - title,y,
simulcastSwitcher,,eb0kku - buttonLink,y,
simulcastSwitcher,,eb0kku - buttonText,y,
simulcastSwitcher,,oeojy2 - title,y,
simulcastSwitcher,,oeojy2 - buttonLink,y,
simulcastSwitcher,,oeojy2 - buttonText,y,
simulcast,,tvScheduleEnabled,y,
repo,,siteName,y,
repo,,websiteAdCallSurvey,y,
repo,flexAds,displayFlexAds,y,
repo,leaderboard,enabled,y,
repo,leaderboard,flexAdsEnabled,y,
repo,leaderboard,adSizes,y,
repo,mpuBoxAds,enabled,y,
repo,lineListAds,enabled,y,
