Context,Subcontext,Webplex Key,IsObject,File
bento,,url,y,reporting-ads.default.js
googleTag,,containerId,y,
repo,,siteName,y,
repo,,websiteAdCallSurvey,y,
repo,flexAds,displayFlexAds,y,
repo,leaderboard,enabled,y,
repo,leaderboard,flexAdsEnabled,y,
repo,leaderboard,adSizes,y,
repo,mpuBoxAds,enabled,y,
repo,lineListAds,enabled,y,
repo,videoPlaylistAds,sizes,y,
repo,videoPlaylistAds,websiteAdCallHighImpactUnit,y,
repo,doubleClick,enabled,y,
repo,doubleClick,positionThreshold,y,
repo,doubleClick,adReloadable,y,
repo,doubleClick,adReloadTime,y,
repo,doubleClick,disablePOE,y,
repo,doubleClick,metadata/property,y,
repo,omniture,enabled,y,
repo,omniture,dynamicAccountSelection,y,
repo,omniture,dynamicAccountList,y,
repo,omniture,linkInternalFilters,y,
repo,omniture,videoViewEventDisable,y,
repo,omniture,enableVisitorNameSpace,y,
repo,omniture,defaultHier,y,
repo,omniture,brand,y,
repo,omniture.contextdata,pageName,y,
repo,omniture.contextdata,pv,y,
repo,omniture.contextdata,channel,y,
repo,omniture.contextdata,templateType,y,
repo,omniture.contextdata,pageType,y,
repo,omniture.contextdata,vidFranchise,y,
repo,omniture.contextdata,pageSeries,y,
repo,omniture.contextdata,pageEvent,y,
repo,omniture.contextdata,vidEpTitle,y,
repo,omniture.contextdata,pageURL,y,
repo,omniture.contextdata,brandId,y,
repo,omniture.contextdata,countryName,y,
repo,omniture.contextdata,language,y,
repo,omniture.contextdata,activity,y,
repo,omniture.contextdata,playerVersion,y,
repo,omniture.contextdata,tveVersion,y,
repo,trackingPixels,facebook,y,
qualtrics,trackingPixels,qualtricsId,y,
adobe,adobeTarget,isAdobeTargetEnabled,y,
adobe,adobeTarget,mboxName,y,
adobe,adobeTarget,ATPropertyId,y,
